Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_5	POLE_P8_1	[InsC]567	2	6	1046160	1095007	0.348895992128659	0.0704193247986582	1.72862227338142	
C_5	DheMS6d2	[InsC]567	266	209	1046160	1095007	1.33223756205435	1.11145761248529	1.59687324267799	*
C_5	RPE1_c2_MSH2_7_2	[DelC]567	64	51	1046160	1095007	1.31351465962259	0.90919415409255	1.89763732342235	
C_5	EXO1_KO22_d1	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	RPE1_c2_MSH2_9_3	[InsC]567	45	36	1046160	1095007	1.30837790300302	0.844102510227639	2.02801521891567	
C_5	MLH_A	[InsC]567	31	28	1046160	1095007	1.15884195789566	0.695184508814949	1.9317385044564	
C_5	POLE_P8_2	[DelC]567	2	1	1046160	1095007	2.09338551155753	0.189820817733182	23.0863134630409	
C_5	MSH3_KO5_d3	[DelC]567	1	6	1046160	1095007	0.17444782931339	0.0210020692453417	1.44900222909719	
C_5	RPE1_c2_MSH2_7_2	[InsC]567	38	28	1046160	1095007	1.42052545360047	0.871860397193833	2.31446751202555	
C_5	EXO1_KO22_d1	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	RPE1_c2_OGG1_11_1	[DelC]567	1	0	1046160	1095007	1	1	1	
C_5	MLH1_2	[DelC]567	47	40	1046160	1095007	1.22987308732422	0.806763350751737	1.87488413983479	
C_5	MSH3_KO5_d4	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	MSH3_KO5_d3	[InsC]567	1	0	1046160	1095007	1	1	1	
C_5	RPE1_c2_OGG1_11_2	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	RPE1_c2_OGG1_11_1	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	MLH1_5	[InsC]567	31	28	1046160	1095007	1.15884195789566	0.695184508814949	1.9317385044564	
C_5	MLH1_2	[InsC]567	35	32	1046160	1095007	1.1448239036922	0.708834736210137	1.84898073346747	
C_5	POD478_1	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	MSH3_KO5_d4	[DelC]567	1	0	1046160	1095007	1	1	1	
C_5	RPE1_c2_OGG1_1110	[DelC]567	1	0	1046160	1095007	1	1	1	
C_5	RPE1_c2_OGG1_11_2	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	MSH3_KO5_d1	[DelC]567	1	0	1046160	1095007	1	1	1	
C_5	MLH1_5	[DelC]567	51	46	1046160	1095007	1.16047037163431	0.779017481816713	1.72870508669526	
C_5	POD478_1	[InsC]567	2	3	1046160	1095007	0.697793896014432	0.116597476463116	4.17604510908117	
C_5	RPE1_WT_1	[InsC]567	1	0	1046160	1095007	1	1	1	
C_5	RPE1_c2_OGG1_1110	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	SETD2_KO15_d3	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	MSH3_KO5_d1	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	POD689_1	[DelC]567	3	1	1046160	1095007	3.14008126887264	0.326630938776597	30.1873129718088	
C_5	POD478_2	[DelC]567	3	2	1046160	1095007	1.57003920061712	0.262344812394749	9.39611905786543	
C_5	RPE1_WT_2	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	RPE1_WT_1	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	SETD2_KO15_d3	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	RPE1_WT_U2	[InsC]567	1	1	1046160	1095007	1.04669175526856	0.0654692663204547	16.7340141736839	
C_5	POD689_1	[InsC]567	0	1	1046160	1095007	1	1	1	
C_5	POD478_2	[InsC]567	5	3	1046160	1095007	1.7444897425971	0.416905491749292	7.29960272112837	
C_5	RPE1_WT_2	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	SETD2_KO19_d4	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	SETD2_KO19_d3	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	POLE_L424V_d1	[DelC]567	2	0	1046160	1095007	1	1	1	
C_5	POD689_2	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	RPE1_WT_U2	[DelC]567	2	0	1046160	1095007	1	1	1	
C_5	RPE1_WT_U1	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	SETD2_KO19_d4	[InsC]567	2	0	1046160	1095007	1	1	1	
C_5	SETD2_KO19_d3	[InsC]567	1	0	1046160	1095007	1	1	1	
C_5	POLE_L424V_d1	[InsC]567	3	3	1046160	1095007	1.04669184453194	0.211258755122534	5.18588598505291	
