Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
T_567	POLDMLH1	[InsT]567	3759	2766	7409247	6989196	2.76841272911806e-23	1.99325716496501e-21	***	2.33871543777164e-23	1.68387511519558e-21	***
T_567	MSH2	[InsT]567	1363	1117	7409247	6989196	0.000485807994257932	0.00437227194832138	**	0.000507716382731859	0.00456944744458673	**
T_567	POLDMSH2	[DelT]567	2602	2134	7409247	6989196	1.62790365380153e-06	2.13107387406746e-05	***	1.59745172205557e-06	2.09120952705456e-05	***
T_567	SETD2	[InsT]567	23	11	7409247	6989196	0.0589349304352121	0.292642413195536		0.0612045347313925	0.326424185234093	
T_567	POLEP286R	[InsT]567	358	503	7409247	6989196	6.62818355724415e-09	1.19307304030395e-07	***	7.46681658198799e-09	1.34402698475784e-07	***
T_567	POLEMSH2	[InsT]567	3014	3677	7409247	6989196	9.0036728771675e-26	1.29652889431212e-23	***	9.09214931321421e-26	1.30926950110285e-23	***
T_567	POLD1R689W	[DelT]567	2	0	7409247	6989196	0.169584279749804	0.542669695199373		0.500425542545705	0.861639325667215	
T_567	MSH3	[DelT]567	26	22	7409247	6989196	0.7073696509375	0.949727555454165		0.773515386051619	1	
T_567	POLDMSH2	[InsT]567	4324	3345	7409247	6989196	6.23547607173995e-18	2.24477138582638e-16	***	6.03025609768334e-18	2.170892195166e-16	***
T_567	WT	[DelT]567	26	19	7409247	6989196	0.396349690409458	0.722460195176734		0.456822552012275	0.861639325667215	
T_567	POLEL424V	[DelT]567	88	74	7409247	6989196	0.466039677378448	0.801274950528034		0.480189213891809	0.861639325667215	
T_567	POLEP286R	[DelT]567	37	28	7409247	6989196	0.378055568970867	0.707013012101362		0.388283542361357	0.861639325667215	
T_567	POLD1R689W	[InsT]567	32	15	7409247	6989196	0.0225677988496364	0.141294044971637		0.0277288457317105	0.173606686320274	
T_567	MSH3	[InsT]567	17	6	7409247	6989196	0.0311880492317063	0.187128295390238		0.0364352038053126	0.218611222831876	
T_567	POLD1S478N	[DelT]567	14	13	7409247	6989196	0.967392957272926	1		1	1	
T_567	WT	[InsT]567	51	54	7409247	6989196	0.553877380139332	0.857616588602836		0.559771596106046	0.905697863362592	
T_567	POLEL424V	[InsT]567	337	444	7409247	6989196	3.38386552086717e-06	4.06063862504061e-05	***	3.69922601291891e-06	4.43907121550269e-05	***
T_567	POLEMSH2	[DelT]567	1059	1254	7409247	6989196	4.76224998054148e-08	6.85763997197973e-07	***	4.89829694846918e-08	7.05354760579561e-07	***
T_567	POLD1S478N	[InsT]567	336	221	7409247	6989196	2.8394836550175e-05	0.000314527420248092	***	3.12250475546793e-05	0.000345877449836448	***
T_89	POLDMLH1	[DelT]89	1028	939	388062	349296	0.744850721160119	0.949727555454165		0.751951870282929	1	
T_89	POLEMSH2	[InsT]89	1680	1375	388062	349296	0.00889943149854734	0.0650902960584502		0.00907569088097874	0.0687841835189968	
T_89	MSH3	[DelT]89	33	34	388062	349296	0.58007655110969	0.87259784145541		0.625394592047408	0.979693920619509	
T_89	MLH1	[DelT]89	1941	1688	388062	349296	0.301097112959015	0.687358430420211		0.302763010716253	0.832976640640505	
T_89	POLDMLH1	[InsT]89	1596	1448	388062	349296	0.827077365048719	1		0.827611770359595	1	
T_89	MLH1	[InsT]89	548	535	388062	349296	0.18122847923682	0.555253212980896		0.190698190522368	0.65382236750526	
T_89	POLEP286R	[DelT]89	14	15	388062	349296	0.638737096908954	0.884405211104705		0.711519871514799	1	
T_89	MSH2	[DelT]89	2903	2447	388062	349296	0.0167503868366619	0.10963889565815		0.0172031678863036	0.112602553437624	
T_89	MSH3	[InsT]89	12	7	388062	349296	0.357999182510526	0.687358430420211		0.491842496213025	0.861639325667215	
T_89	MSH2	[InsT]89	1460	1358	388062	349296	0.383948646190399	0.708828269889968		0.385596331897783	0.861639325667215	
T_89	POLDMSH2	[DelT]89	1650	1470	388062	349296	0.774664914169536	0.970015196873158		0.788000403971482	1	
T_89	SETD2	[InsT]89	14	11	388062	349296	0.735667705667827	0.949727555454165		0.842200231300651	1	
T_89	POLEP286R	[InsT]89	197	201	388062	349296	0.21090386402343	0.613169250356338		0.228284201597325	0.693396595001555	
T_89	POLD1S478N	[DelT]89	6	5	388062	349296	0.898688271290024	1		1	1	
T_89	POLD1R689W	[DelT]89	4	5	388062	349296	0.622906009588036	0.879396719418404		0.743820122387333	1	
T_89	POLEL424V	[InsT]89	241	245	388062	349296	0.17949240751325	0.555253212980896		0.187768270941326	0.65382236750526	
T_89	POLDMSH2	[InsT]89	1831	1663	388062	349296	0.790334598313331	0.981105018595859		0.799412620851	1	
T_89	WT	[DelT]89	21	25	388062	349296	0.343305667153972	0.687358430420211		0.377402979376595	0.861639325667215	
T_89	SETD2	[DelT]89	3	4	388062	349296	0.604612622662296	0.879396719418404		0.714566741022852	1	
T_89	POLD1S478N	[InsT]89	100	77	388062	349296	0.302654662016754	0.687358430420211		0.327998710603359	0.861639325667215	
T_89	POLD1R689W	[InsT]89	9	2	388062	349296	0.0525144908583617	0.280077284577929		0.0694454320143113	0.333338073668694	
T_89	POLEMSH2	[DelT]89	520	464	388062	349296	0.891651109669466	1		0.898432834124089	1	
T_89	POLEL424V	[DelT]89	53	43	388062	349296	0.612715532310887	0.879396719418404		0.682909011162455	1	
T_89	WT	[InsT]89	40	42	388062	349296	0.485234863713083	0.803102842374016		0.508319063277501	0.861639325667215	
