Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
C_567	DheMS6d3	[InsC]567	309	259	1286457	1339204	0.00995897496165402	0.14938462442481		0.0104292251455997	0.156438377183995	
C_567	RPE1_c2_MSH2_7_3	[DelC]567	73	67	1286457	1339204	0.456308251057931	0.920285548352129		0.499060946959932	1	
C_567	EXO1_KO22_d2	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	POLE_L424V_d2	[InsC]567	2	4	1286457	1339204	0.442817834515941	0.909446285469757		0.687878193637128	1	
C_567	DheML6d1	[InsC]567	219	156	1286457	1339204	0.000269412109326906	0.00646589062384575	**	0.000290149982155111	0.00696359957172266	**
C_567	POLE_P8_5	[DelC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	E_MSHd1	[DelC]567	46	75	1286457	1339204	0.0156975884948352	0.215049060061676		0.0177878306955429	0.238919043445516	
C_567	RPE1_c2_MSH2_7_3	[InsC]567	34	34	1286457	1339204	0.868399438654808	1		0.903840761721661	1	
C_567	EXO1_KO22_d2	[InsC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	POLE_L424V_d3	[DelC]567	2	0	1286457	1339204	0.149044434599622	0.758592773655001		0.24005637403448	1	
C_567	DheML6d3	[DelC]567	241	277	1286457	1339204	0.260691822852937	0.789703279157356		0.271981971465501	1	
C_567	POLE_P8_5	[InsC]567	2	1	1286457	1339204	0.540359756448485	0.98997207288272		0.617620990032091	1	
C_567	E_MSHd1	[InsC]567	28	31	1286457	1339204	0.813193987847915	1		0.896578878495523	1	
C_567	RPE1_c2_MSH2_9_2	[DelC]567	62	57	1286457	1339204	0.498005358803317	0.952858072129369		0.521776760766112	1	
C_567	EXO1_KO22_d3	[DelC]567	0	1	1286457	1339204	0.327032438340448	0.789703279157356		1	1	
C_567	POLE_L424V_d3	[InsC]567	3	2	1286457	1339204	0.622554368099112	1		0.681479422080744	1	
C_567	DheML6d3	[InsC]567	226	153	1286457	1339204	3.44762504702952e-05	0.000919366679207872	***	3.73194142864153e-05	0.000995184380971074	***
C_567	RPE1_c2_MSH2_7_1	[DelC]567	52	56	1286457	1339204	0.860164837033689	1		0.923398188447167	1	
C_567	E_MSHd2	[DelC]567	39	63	1286457	1339204	0.0297123844089201	0.347852305275162		0.0370293776952173	0.444352532342607	
C_567	RPE1_c2_MSH2_9_2	[InsC]567	64	37	1286457	1339204	0.00386375969810931	0.0662358805390168		0.00506822564671392	0.0868838682293814	
C_567	EXO1_KO22_d3	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	POLE_P8_1	[DelC]567	0	3	1286457	1339204	0.0895836304736385	0.59722420315759		0.250302677044461	1	
C_567	DheMS6d2	[DelC]567	494	534	1286457	1339204	0.546120242148319	0.996721354491228		0.553480288654254	1	
C_567	RPE1_c2_MSH2_7_1	[InsC]567	38	35	1286457	1339204	0.601064887296015	1		0.640506949555133	1	
C_567	E_MSHd2	[InsC]567	35	43	1286457	1339204	0.466278757168489	0.925315050367197		0.49800951684796	1	
C_567	RPE1_c2_MSH2_9_3	[DelC]567	65	62	1286457	1339204	0.622225759891569	1		0.657613873556991	1	
C_567	MLH_A	[DelC]567	49	46	1286457	1339204	0.61447300734533	1		0.681689596482348	1	
C_567	POLE_P8_1	[InsC]567	2	6	1286457	1339204	0.174569318481809	0.781999625532949		0.289856760050363	1	
C_567	DheMS6d2	[InsC]567	266	209	1286457	1339204	0.00225973183986123	0.0471596210057997	*	0.00242559047154057	0.0506210185364988	
C_567	RPE1_c2_MSH2_7_2	[DelC]567	64	51	1286457	1339204	0.153298956342781	0.758592773655001		0.162362849084552	0.916872559536294	
C_567	EXO1_KO22_d1	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	RPE1_c2_MSH2_9_3	[InsC]567	45	36	1286457	1339204	0.237586964715954	0.789703279157356		0.266698633399195	1	
