Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_3	DheML6d1	[InsC]3	2	1	11688814	11890962	2.03458845946021	0.184489559218699	22.4378561957619	
C_3	POLE_P8_5	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	MSH3_KO5_d1	[InsC]3	0	1	11688814	11890962	1	1	1	
C_3	DheML6d3	[DelC]3	114	144	11688814	11890962	0.805355963451881	0.629907025061037	1.02967295499627	
C_3	MSH3_KO5_d1	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	POLE_P8_2	[DelC]3	1	0	11688814	11890962	1	1	1	
C_3	DheML6d3	[InsC]3	5	8	11688814	11890962	0.635808682475691	0.208001653276703	1.94350705556028	
C_3	RPE1_c2_MSH2_7_1	[InsC]3	3	1	11688814	11890962	3.05188295028468	0.317457016393424	29.3393721394253	
C_3	POLE_P8_2	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_WT_2	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	MSH3_KO5_d3	[DelC]3	2	1	11688814	11890962	2.03458845946021	0.184489559218699	22.4378561957619	
C_3	POLE_P8_5	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_WT_U1	[DelC]3	0	2	11688814	11890962	1	1	1	
C_3	MSH3_KO5_d3	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	POLE_L424V_d3	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_WT_U1	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	MSH3_KO5_d4	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_MSH2_7_1	[DelC]3	9	7	11688814	11890962	1.30794984725006	0.487108481188531	3.51201604773399	
C_3	RPE1_WT_U2	[DelC]3	0	1	11688814	11890962	1	1	1	
C_3	MSH3_KO5_d4	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	POLE_P8_1	[InsC]3	0	0	11688814	11890962	1	1	1	
