IndelType	Indel
G[Ins(T):R1]A	Ins(T)
G[Ins(T):R1]C	Ins(T)
G[Ins(T):R1]G	Ins(T)
G[Ins(T):R2]A	Ins(T)
G[Ins(T):R2]C	Ins(T)
G[Ins(T):R2]G	Ins(T)
G[Ins(T):R3]A	Ins(T)
G[Ins(T):R3]C	Ins(T)
G[Ins(T):R3]G	Ins(T)
G[Ins(T):R4]A	Ins(T)
G[Ins(T):R4]C	Ins(T)
G[Ins(T):R4]G	Ins(T)
G[Ins(T):R5]A	Ins(T)
G[Ins(T):R5]C	Ins(T)
G[Ins(T):R5]G	Ins(T)
G[Ins(T):R6]A	Ins(T)
G[Ins(T):R6]C	Ins(T)
G[Ins(T):R6]G	Ins(T)
G[Ins(T):R7]A	Ins(T)
G[Ins(T):R7]C	Ins(T)
G[Ins(T):R7]G	Ins(T)
G[Ins(T):R8]A	Ins(T)
G[Ins(T):R8]C	Ins(T)
G[Ins(T):R8]G	Ins(T)
G[Ins(T):R9]A	Ins(T)
G[Ins(T):R9]C	Ins(T)
G[Ins(T):R9]G	Ins(T)
Del2:M1	"Del(2,):M(1,)"
Del3:M1	"Del(2,):M(1,)"
Del3:M2	"Del(2,):M(1,)"
Del4:M1	"Del(2,):M(1,)"
Del4:M2	"Del(2,):M(1,)"
Del4:M3	"Del(2,):M(1,)"
Del5:M1	"Del(2,):M(1,)"
Del5:M2	"Del(2,):M(1,)"
Del5:M3	"Del(2,):M(1,)"
Del5:M4	"Del(2,):M(1,)"
Del6:M1	"Del(2,):M(1,)"
Del6:M2	"Del(2,):M(1,)"
Del6:M3	"Del(2,):M(1,)"
Del6:M4	"Del(2,):M(1,)"
Del6:M5	"Del(2,):M(1,)"
"Del(7,):M1"	"Del(2,):M(1,)"
"Del(7,):M2"	"Del(2,):M(1,)"
"Del(7,):M3"	"Del(2,):M(1,)"
"Del(7,):M4"	"Del(2,):M(1,)"
"Del(7,):M5"	"Del(2,):M(1,)"
"Del(7,):M(6,)"	"Del(2,):M(1,)"
Del2:U2:R1	"Del(2,):R(0,9)"
Del3:U3:R1	"Del(2,):R(0,9)"
Del4:U4:R1	"Del(2,):R(0,9)"
Del5:U5:R1	"Del(2,):R(0,9)"
Del6:U6:R1	"Del(2,):R(0,9)"
Del7:U7:R1	"Del(2,):R(0,9)"
Del8:U8:R1	"Del(2,):R(0,9)"
Del9:U9:R1	"Del(2,):R(0,9)"
"Del(10,):U(10,):R1"	"Del(2,):R(0,9)"
Del2:U1:R2	"Del(2,):R(0,9)"
Del2:U1:R3	"Del(2,):R(0,9)"
Del2:U1:R4	"Del(2,):R(0,9)"
"Del2:U1:R(5,9)"	"Del(2,):R(0,9)"
Del2:U2:R2	"Del(2,):R(0,9)"
Del2:U2:R3	"Del(2,):R(0,9)"
Del2:U2:R4	"Del(2,):R(0,9)"
"Del2:U2:R(5,9)"	"Del(2,):R(0,9)"
Del3:U1:R3	"Del(2,):R(0,9)"
Del3:U1:R4	"Del(2,):R(0,9)"
"Del3:U1:R(5,9)"	"Del(2,):R(0,9)"
Del3:U3:R2	"Del(2,):R(0,9)"
Del3:U3:R3	"Del(2,):R(0,9)"
Del3:U3:R4	"Del(2,):R(0,9)"
"Del3:U3:R(5,9)"	"Del(2,):R(0,9)"
Del4:U1:R4	"Del(2,):R(0,9)"
"Del4:U1:R(5,9)"	"Del(2,):R(0,9)"
Del4:U2:R2	"Del(2,):R(0,9)"
